,council_name,number,person_name
14712,平成11年 第5回定例会（第1日12月7日）,4,吉田康人
14713,平成11年 第5回定例会（第1日12月7日）,5,林啓二
14714,平成11年 第5回定例会（第1日12月7日）,6,中浜実
14715,平成11年 第5回定例会（第1日12月7日）,7,久保隆
14716,平成11年 第5回定例会（第1日12月7日）,8,安好一弘
14717,平成11年 第5回定例会（第1日12月7日）,9,中村玲子
14718,平成11年 第5回定例会（第1日12月7日）,10,橋本恵美子
14719,平成11年 第5回定例会（第1日12月7日）,11,市田忠夫
14720,平成11年 第5回定例会（第1日12月7日）,12,岩為俊
14721,平成11年 第5回定例会（第1日12月7日）,13,藤田頼夫
14722,平成11年 第5回定例会（第1日12月7日）,14,稲垣芳広
14723,平成11年 第5回定例会（第1日12月7日）,15,筒井俊雄
14724,平成11年 第5回定例会（第1日12月7日）,16,岡本茂
14725,平成11年 第5回定例会（第1日12月7日）,17,堀田和喜
14726,平成11年 第5回定例会（第1日12月7日）,18,松雪芳信
14727,平成11年 第5回定例会（第1日12月7日）,19,森清
14728,平成11年 第5回定例会（第1日12月7日）,20,二木洋子
14729,平成11年 第5回定例会（第1日12月7日）,21,池下節夫
14730,平成11年 第5回定例会（第1日12月7日）,22,須磨章
14731,平成11年 第5回定例会（第1日12月7日）,24,川口雅夫
14732,平成11年 第5回定例会（第1日12月7日）,25,源久忠仁
14733,平成11年 第5回定例会（第1日12月7日）,26,福井浩二
14734,平成11年 第5回定例会（第1日12月7日）,27,石橋守
14735,平成11年 第5回定例会（第1日12月7日）,28,根来勝利
14736,平成11年 第5回定例会（第1日12月7日）,29,大川肇
14737,平成11年 第5回定例会（第1日12月7日）,30,岡本嗣郎
14738,平成11年 第5回定例会（第1日12月7日）,31,高須賀嘉章
14739,平成11年 第5回定例会（第1日12月7日）,32,新家末吉
14740,平成11年 第5回定例会（第1日12月7日）,33,久保隆夫
14741,平成11年 第5回定例会（第1日12月7日）,34,段野啓三
14742,平成11年 第5回定例会（第1日12月7日）,36,鳥本高男
14743,平成11年 第5回定例会（第2日12月9日）,1,三本登
14744,平成11年 第5回定例会（第2日12月9日）,2,角芳春
14745,平成11年 第5回定例会（第2日12月9日）,3,小西弘泰
14746,平成11年 第5回定例会（第2日12月9日）,4,吉田康人
14747,平成11年 第5回定例会（第2日12月9日）,5,林啓二
14748,平成11年 第5回定例会（第2日12月9日）,6,中浜実
14749,平成11年 第5回定例会（第2日12月9日）,7,久保隆
14750,平成11年 第5回定例会（第2日12月9日）,8,安好一弘
14751,平成11年 第5回定例会（第2日12月9日）,9,中村玲子
14752,平成11年 第5回定例会（第2日12月9日）,10,橋本恵美子
14753,平成11年 第5回定例会（第2日12月9日）,11,市田忠夫
